"Date","Price","Open","High","Low","Vol.","Change %"
"06/07/2012","218.1790","217.5360","223.7608","217.5360","","-0.24%"
"06/06/2012","218.6935","219.7995","221.8316","217.8703","","0.87%"
"06/05/2012","216.8157","215.8125","217.5102","214.3721","","0.37%"
"06/04/2012","216.0183","211.3368","216.2755","211.1053","","0.90%"
"06/01/2012","214.0891","218.2305","218.4362","211.8513","","-3.81%"
"05/31/2012","222.5776","226.3331","226.6417","220.9828","","-1.47%"
"05/30/2012","225.8958","230.0629","231.0918","225.0984","","-3.24%"
"05/29/2012","233.4582","234.4100","237.0851","232.2750","","-0.11%"
"05/25/2012","233.7155","234.2042","234.4871","232.5837","","0.22%"
"05/24/2012","233.2010","233.7155","235.3103","232.0692","","0.85%"
"05/23/2012","231.2461","233.9727","235.4132","229.7799","","-2.12%"
"05/22/2012","236.2620","237.5996","238.9629","235.8762","","-1.09%"
"05/21/2012","238.8600","237.0851","239.0400","236.1077","","1.15%"
"05/18/2012","236.1334","239.1687","239.8117","235.3360","","-1.23%"
"05/17/2012","239.0658","239.8889","242.3840","237.9597","","-0.27%"
"05/16/2012","239.7088","238.5770","243.1042","238.3970","","-1.23%"
"05/15/2012","242.6926","244.4675","246.4224","242.2554","","-0.82%"
"05/14/2012","244.6990","243.0528","245.3678","242.3325","","-1.41%"
"05/11/2012","248.1973","247.9401","250.8210","246.9369","","-0.94%"
"05/10/2012","250.5638","248.5574","252.1328","248.4802","","0.27%"
"05/09/2012","249.8950","248.8146","249.9721","245.9080","","-0.23%"
"05/08/2012","250.4609","250.0493","251.5155","246.7311","","-0.96%"
"05/07/2012","252.8788","252.6473","253.4961","249.0718","","-0.58%"
"05/04/2012","254.3450","261.7788","261.8045","251.8756","","-3.93%"
"05/03/2012","264.7369","270.5759","271.8363","264.3511","","-2.52%"
"05/02/2012","271.5791","272.7624","273.3025","270.8074","","-0.86%"
"05/01/2012","273.9456","269.8557","274.5887","269.8557","","1.18%"
"04/30/2012","270.7560","268.9297","271.4248","268.2609","","-0.06%"
"04/27/2012","270.9103","269.2384","271.0389","268.6210","","0.36%"
